places_id,place_name,country,city,hotel_name,hotel_id,address,phone_no,room_type,rate
1,Shaniwar Wada,india,pune,The Ritz-Carlton,H001,"123 FC Road, Pune, Maharashtra, India","+91 20 1234 5678 (Pune, India)",Single Room,"6,640"
2,Aga Khan Palace,india,pune,Hilton Garden Inn,H002,"456 MG Road, Pune, Maharashtra, India","+91 20 2345 6789 (Pune, India)",Double Room,"9,920"
3,Sinhagad Fort,india,pune,Marriott Courtyard,H003,"789 Jangli Maharaj Road, Pune, Maharashtra, India","+91 20 3456 7890 (Pune, India)",Deluxe Room,"4,880"
4,Dagdusheth Halwai Ganapati Temple,india,pune,Hyatt Regency,H004,"101 Shivaji Nagar, Pune, Maharashtra, India","+91 20 4567 8901 (Pune, India)",Executive Suite,"2,050"
5,Raja Dinkar Kelkar Museum,india,pune,Taj Mahal Palace,H005,"22 Koregaon Park, Pune, Maharashtra, India","+91 20 5678 9012 (Pune, India)",Family Suite,"2,750"
6,Kyoto Imperial,Japan,Kyoto,Sheraton Grand,H006,"55 Shijo Dori, Kyoto, Japan","+81 75 123 4567 (Kyoto, Japan)",King Room,"12,500"
7,Statue of Liberty,USA,New York,JW Marriott,H007,"789 5th Avenue, New York, NY, USA","+1 212 123 4567 (New York, USA)",Queen Room,"11,600"
8,Grand Canyon,USA,Arizona,Four Seasons Hotel,H008,"450 Desert Ridge, Phoenix, Arizona, USA","+1 602 234 5678 (Arizona, USA)",Twin Room,"10,800"
9,Mount Fuji,Japan,Shizuoka,Holiday Inn Express,H009,"88 Mount Fuji Road, Shizuoka, Japan","+81 54 987 6543 (Shizuoka, Japan)",Studio Apartment,"16,500"
10,Gateway of India,India,Mumbai,Radisson Blu,H010,"300 Marine Drive, Mumbai, Maharashtra, India","+91 22 3456 7890 (Mumbai, India)",Penthouse Suite,"3,000"
11,Golden Gate Bridge,USA,San Francisco,The Oberoi,H011,"555 Market Street, San Francisco, CA, USA","+1 415 234 5678 (San Francisco, USA)",Superior Room,"13,200"
12,Akihabara,Japan,Tokyo,Le Méridien,H012,"102 Shinjuku, Tokyo, Japan","+81 3 1234 5678 (Tokyo, Japan)",Standard Room,"8,300"
13,Mysore Palace,India,Mysore,Novotel Hotel,H013,"10 Chamundi Hill Road, Mysore, Karnataka, India","+91 821 234 5678 (Mysore, India)",Junior Suite,"6,500"
14,Yosemite National,USA,California,Fairfield by Marriott,H014,"450 Sunset Boulevard, Los Angeles, California, USA","+1 323 234 5678 (California, USA)",Accessible Room,"9,200"
15,Nara Park,Japan,Nara,Trident Hotel,H015,"77 Naramachi, Nara, Japan","+81 742 987 6543 (Nara, Japan)",Honeymoon Suite,"9,000"
16,Amer Fort,India,Jaipur,ITC Grand Chola,H016,"88 Hawa Mahal Road, Jaipur, Rajasthan, India","+91 141 3456 7890 (Jaipur, India)",Luxury Suite,"4,500"
17,Yellowstone NP,USA,Wyoming,The Westin,H017,"250 Jackson Hole, Wyoming, USA","+1 307 123 4567 (Wyoming, USA)",Corner Room,"15,400"
18,Hiroshima Peace,Japan,Hiroshima,Pullman Hotel,H018,"25 Peace Park, Hiroshima, Japan","+81 82 234 5678 (Hiroshima, Japan)",Bungalow,"22,800"
19,Kerala Backwaters,India,Kerala,The Leela Palace,H019,"99 Kovalam Beach, Kerala, India","+91 471 234 5678 (Kerala, India)",Double Room,"9,920"
20,Central Park,USA,New York,Aloft Hotel,H020,"300 Broadway, New York, NY, USA","+1 212 987 6543 (New York, USA)",Family Suite,"24,750"
21,Gion District,Japan,Kyoto,Hoshinoya Kyoto,H022,"11-2 Arashiyama Genrokuzancho, Kyoto, Japan","+81 75 871 0001 (Kyoto, Japan)",Traditional Suite,"28,000"
22,Hollywood,USA,Los Angeles,The Beverly Hills Hotel,H023,"9641 Sunset Blvd, Beverly Hills, Los Angeles, USA","+1 310 276 2251 (Los Angeles, USA)",Luxury Villa,"40,000"
